timestamp,problem,num_trials,first_avg_improvement,last_avg_improvement,best_avg_improvement,worst_avg_improvement,stdev_avg_improvement,median_avg_improvement,best_trial,num_errors,error_rate,avg_success_rate,first_success_rate,last_success_rate,num_new_bests,longest_plateau,plateau_trial,num_regressions,total_improvement,improvement_per_trial,improvement_velocity,avg_training_time,tail_trials,tail_velocity,overall_velocity,tailing_off,mean_headroom_captured,problems_improved,worst_problem_delta
20260325-203533,facloc,49,0.0,0.641488,0.641782,0.0,0.1893100839698368,0.622882,44,0,0.0,1.0,1.0,1.0,11,15,3,1,0.641488,0.013091591836734693,0.013097591836734692,0.5207551020408163,9,0.0,0.013091591836734693,True,,,
20260325-203533,gc,51,0.143346,0.178353,0.189465,0.0,0.03561489987256105,0.178353,30,0,0.0,0.9803921568627451,1.0,1.0,6,21,5,8,0.03500700000000001,0.0006864117647058825,0.0009042941176470587,67.20696078431372,10,0.0,0.0006864117647058825,True,,,
20260325-203533,lop,62,0.0,0.090316,0.096221,0.0,0.011470241375457794,0.087711,41,0,0.0,0.9086021774193548,1.0,1.0,5,21,3,8,0.090316,0.0014567096774193548,0.0015519516129032258,113.4208064516129,12,2.1083333333332444e-05,0.0014567096774193548,True,,,
20260325-203533,maxsat,49,0.0,0.90002,0.92392,0.0,0.12836750136468106,0.867692,47,0,0.0,1.0,1.0,1.0,7,30,6,4,0.90002,0.018367755102040816,0.018855510204081632,127.77587755102041,9,0.0004308888888888942,0.018367755102040816,True,,,
20260325-203533,qap,55,0.119948,0.127941,0.138275,0.0,0.018446357669050697,0.127121,37,0,0.0,0.9272727636363637,1.0,1.0,11,18,13,2,0.007993,0.00014532727272727273,0.000333218181818182,93.36983636363637,11,-0.00013636363636363648,0.00014532727272727273,True,,,
20260325-203533,_aggregate,53,0.052658800000000006,0.3876236,0.39793259999999997,0.0,0.07664181685031748,0.3767518,40,0,0.0,0.9632534195836927,1.0,1.0,8,21,5,5,0.3349648,0.0067495591307256035,0.006948513190636958,80.45884725052484,10,6.312171717171804e-05,0.0067495591307256035,True,0.3473168220766068,5,0.01832700000000001
20260325-225301,facloc,51,0.0,0.627758,0.638869,0.0,0.14727581008182053,0.536573,47,0,0.0,0.9869281176470588,1.0,1.0,19,9,10,0,0.627758,0.012308980392156863,0.012526843137254903,140.80476470588235,10,0.0002617000000000091,0.012308980392156863,True,,,
20260325-225301,gc,56,0.0,0.178353,0.189465,0.0,0.024742661317865233,0.169806,41,0,0.0,0.9821428571428571,1.0,1.0,6,22,6,8,0.178353,0.003184875,0.0033833035714285714,53.912910714285715,11,-0.0010101818181818165,0.003184875,True,,,
20260325-225301,lop,72,0.092812,0.072427,0.092812,0.0,0.02017680629661161,0.055327,1,0,0.0,0.8472222500000001,0.333333,0.666667,1,71,2,63,-0.020385,-0.000283125,0.0,82.69044444444445,14,0.0002613571428571435,-0.000283125,False,,,
20260325-225301,maxsat,61,0.0,0.896884,0.986111,0.0,0.12473509430877554,0.968414,32,0,0.0,1.0,1.0,1.0,7,29,9,0,0.896884,0.014703016393442623,0.016165754098360654,96.62850819672131,12,-0.006278166666666668,0.014703016393442623,True,,,
20260325-225301,qap,66,0.114603,0.133059,0.144815,0.104205,0.008016510022613168,0.1316745,53,0,0.0,0.8787879242424242,1.0,1.0,13,15,7,7,0.018456000000000014,0.00027963636363636385,0.00045775757575757577,103.33807575757577,13,-0.00011761538461538482,0.00027963636363636385,True,,,
20260325-225301,_aggregate,61,0.041483000000000006,0.38169620000000004,0.41041439999999996,0.020841000000000002,0.06498937640553722,0.3723589,35,0,0.0,0.939016229806468,0.8666666,0.9333334000000001,9,29,7,16,0.3402132,0.00603867662984717,0.006506731676560342,95.47494076378192,12,-0.0013765813453213433,0.00603867662984717,True,0.36971350923145213,4,0.0
